"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 23 00:07:50 UTC 2025","Sun Nov 23 00:07:50 UTC 2025","210","","","","","","Listar música com um id existente",""
"passed","Sun Nov 23 00:07:50 UTC 2025","Sun Nov 23 00:07:50 UTC 2025","302","","","","","","Listar todas as músicas",""
"passed","Sun Nov 23 00:07:51 UTC 2025","Sun Nov 23 00:07:51 UTC 2025","372","","","","","","Deletar música com um id existente",""
"passed","Sun Nov 23 00:07:50 UTC 2025","Sun Nov 23 00:07:50 UTC 2025","304","","","","","","Atualizar música com um id existente",""
"passed","Sun Nov 23 00:07:50 UTC 2025","Sun Nov 23 00:07:51 UTC 2025","274","","","","","","Criar uma nova música",""
